title,company,location,published,applicants,url,description
Low Code/Frontend developer,KODIF,Argentina,Hace 2 meses,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/low-code-frontend-developer-at-kodif-4089977173?position=8&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=8FvCt2DVonnYPGq34nwEwA%3D%3D,A Silicon Valley-based startup - KODIF - is looking for a Low Code Developer / AI Engineer! About Us: Join us in disrupting the Customer Support market and making a lasting impact! 🚀 Compensation Range: $15K - $24K
Front-end Developer (React),Trinetix,Buenos Aires y alrededores,Hace 1 día,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/front-end-developer-react-at-trinetix-4149692542?position=9&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=im3ANoxzwgwVeeRPNKjWRQ%3D%3D,Keystone: Project for a US-based fintech company. Making tech-related decisions. Components development. Competitive remuneration. Growth opportunities. We have a US-based client in the consulting and financial domain. We're expanding our team for this client and looking for a highly skilled and motivated Front-end Developer to join our dynamic team. Your future dynamic and friendly team consists of: Developers (Back-end and Front-end)| QA Engineers| Application Architect| Technical Delivery Managers| and Business Systems Analysts. We create AI-Powered Data Automation tools that leverages large language models to automate the ingestion| extraction| and consumption of information through different cloud service like AWS and Azure. To learn more about how we collect| process| and store your personal data| please review our Privacy Notice: https://www.trinetix.com/corporate-policies/privacy-notice.
Frontend Software Engineer,Charlie,Argentina,Hace 4 semanas,165 solicitudes,https://ar.linkedin.com/jobs/view/frontend-software-engineer-at-charlie-4125737126?position=10&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=i7mq%2BlsmNz0xlPzuvyX%2F7g%3D%3D,What We're Looking For Are you an energetic self starter who wants to build something big and impactful from the ground up? Do you get excited by taking on a big challenge? Charlie is building the future of banking for the coming wave of millions of tech comfortable retirees who deserve a bank built from the ground up for their unique needs| a bank they don’t have to get in line for| a bank that comes to them. We are seeking a highly skilled Frontend Engineer to join our team. This role will be responsible for creating a simple| transparent| and delightful banking experience for tech comfortable retirees. You will be collaborating with everyone in the tech and product team to architect and build new systems from the ground up as well as maintain existing systems. It is a unique and challenging role| which will provide you with immense opportunity to design and develop wide-reaching tools. We are an early-stage startup and we expect every member of our team to roll-up their sleeves and do what is needed to deliver an amazing customer experience. You’d be joining a highly experienced group of founders including our CEO Kevin Nazemi| who served as the Co-Founder and Co-CEO of Oscar Health (NYSE: OSCR)| and a company financially supported by some of the most respected FinTech Investors. Treat every customer as if they were our parents. We value integrity and empathy| and work to earn the trust of our customers and community by the choices we make every day. Caring for our customers is at the center of everything for us.
FrontEnd Engineer - Argentina,Extendeal,Buenos Aires y alrededores,Hace 1 mes,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/frontend-engineer-argentina-at-extendeal-4102519578?position=11&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=yyfVH71W6hkpRB1chMwupg%3D%3D,Extendeal es la plataforma de compra inteligente para farmacias que está transformando la industria farmacéutica. Nuestra tecnología permite| a dueños y responsables de farmacias| conseguir los mejores precios y hacer sus operaciones diarias de forma eficiente. Con impacto real en Latinoamérica| nos encontramos en la búsqueda de un
Desarrollador Frontend React,OneInfo Consulting,Buenos Aires| Provincia de Buenos Aires| Argentina,Hace 1 semana,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/desarrollador-frontend-react-at-oneinfo-consulting-4141683138?position=12&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=95jpiF4yJdumEB53RiHxzA%3D%3D,Descripción del puesto Desarrollador Frontend React En nuestra empresa líder e innovadora en el área de Tecnología| Sistemas y Telecomunicaciones| nos encontramos en la búsqueda de un Desarrollador Frontend React para unirse a nuestro equipo. Estamos en la constante búsqueda de profesionales talentosos y apasionados por la tecnología. Como Desarrollador Frontend React| tendrás la oportunidad de formar parte de proyectos emocionantes y desafiantes| en los cuales podrás aplicar tus habilidades para desarrollar interfaces de usuario atractivas| funcionales y responsivas utilizando React y otras tecnologías relacionadas. La persona que estamos buscando deberá demostrar sólidos conocimientos en desarrollo frontend| especialmente en React| así como también habilidades para trabajar en equipo| proactividad para proponer soluciones innovadoras y capacidad para adaptarse a un entorno de trabajo dinámico. Si eres un apasionado de la tecnología| te encanta estar actualizado en las últimas tendencias del desarrollo frontend y estás buscando un desafío que te permita crecer profesionalmente| ¡esta posición es para ti! Requisitos Beneficios 🩺 Medicina Prepaga de primer nivel 📱 Cupón de descuento en Mercado Pago 💻 Pago por Internet 🎂 Dia de Cumpleaños Flex 🛫 Vacaciones Flex 🧘🏻♂️ Reintegro por actividades deportivas/bienestar 👨👦 Días adicionales por Paternidad 👩🏼🍼 Beneficios Post Maternidad 📦 Días por Mudanza 🎓 Descuentos en Capacitaciones| Universidades e Idiomas 🎁 Regalos por días especiales 🏆 Programas de Reconocimiento y Referidos Somos una compañía líder| innovadora| y multinacional| conformada por profesionales muy talentosos. ¿Que hacemos? Ayudamos a nuestros clientes a digitalizar sus procesos| crecer e innovar| y a quienes proveemos profesionales para conformar sus equipos de alto rendimiento| como también ayudamos a los emprendedores de distintos países a ver sus sueños y desafíos hechos realidad. Nuestra misión es establecer relaciones a largo plazo con nuestros clientes y brindarles las soluciones que les permitan alcanzar sus objetivos de negocios de forma segura y confiable. Nuestra visión es ser una empresa internacional líder en la provisión de soluciones de negocios| basadas en tecnología de alto valor agregado| innovadora y sustentable.
Frontend Developer,Practia Global,Buenos Aires y alrededores,Hace 2 semanas,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/frontend-developer-at-practia-global-4136683224?position=13&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=Pi%2B5e%2Fm2ey%2BUGP8zpQX%2Bhw%3D%3D,¿Quiénes somos? Somos la empresa de tecnología y negocios más prestigiosa de Iberoamérica. Nuestra red regional permite responder rápidamente a la demanda| con especialistas en cada problemática y aplicando innovación tecnológica a cada negocio.
JavaScript Developer (Vue.js),Switch Software,Buenos Aires y alrededores,Hace 1 semana,52 solicitudes,https://ar.linkedin.com/jobs/view/javascript-developer-vue-js-at-switch-software-4143596124?position=14&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=M6dmjaMcwaQve%2BinDZkJPQ%3D%3D,We are looking for a Senior JavaScript Developer with expertise in Vue.js to lead the frontend development of our applications. You will play a key role in building new systems| optimizing processes| and integrating data into our platform. Working closely with designers| backend developers| and end users| you will have the opportunity to make impactful decisions and contribute to the continuous improvement of our development practices. This is an excellent opportunity for a proactive developer who enjoys working in a dynamic environment| values autonomy| and is eager to collaborate with different teams to create high-quality solutions. Requisitos Beneficios Switch Software is always looking for ambitious| talented software developers. Our main offerings include .NET| Java and Javascript| but if you specialize in something else| we want to see what you have to offer. We are a growing company and have offices in Montevideo(Uruguay) and in US in Austin (Texas)| Chicago and Denver. If you want to work in US projects on a team that maintains a small-company family environment| then Switch may be your next home. https //www.switchsoftware.io/careers
Frontend JavaScript/Typescript Developer,YO IT CONSULTING,Argentina,Hace 5 meses,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/frontend-javascript-typescript-developer-at-yo-it-consulting-4042554621?position=15&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=1JOd2TwKeWVZQM1JuX1XFg%3D%3D,LLM JavaScript / TypeScript Engineer Experience: 2 - 5 Years Location- Permanent Remote Anywhere in the world 6 Months Full Time| 8 hours| Overlap Required: 5 hours PST - 2+ years experience - JavaScript: 2| Typescript: 2 We are actively seeking talented developers proficient in Javascript/Typescript to join our ambitious team dedicated to pushing the frontiers of AI technology. This opportunity is tailored for professionals who thrive on developing innovative solutions and aspire to be at the forefront of AI advancements. You will work with different companies in the US who are looking to develop cutting-edge commercial and research AI solutions. Skills: node.js|english communication|communication skills|web apps development|modular development|scalable architectures|typescript|quality assurance|code quality|software quality assurance|react.js|frontend development|front-end web development|computer science|react|test planning|front-end engineer|code readability|es6|testing|web apps|code security|web development|engineering|security|javascript
Software Engineer - Frontend (LatAm),ReflexAI,Buenos Aires y alrededores,Hace 11 meses,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/software-engineer-frontend-latam-at-reflexai-3856565956?position=16&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=Ps7KrJc%2BWft2n94dx405jQ%3D%3D,Reports to: Director of Software Engineering Location: Latin America Hours: Full-time Compensation: $35K - $65K Base Pay + Equity ReflexAI brings the best in machine learning and natural language processing to mission-driven| people-centric organizations via innovative tools that transform how they train| develop| and empower their frontline teams. As a ReflexAI software engineer| you will be involved in multiple large-scale projects| including ReflexAI’s highly visible development of a tool that trains veterans to support each other through mental health challenges. You should bring front-end skills and have a strong knowledge of modern web application tools and architectures including Typescript| NextJS| tRPC| Tailwind CSS| cloud services (GCP and/or AWS)| Figma| Web Accessibility standards and REST APIs. You should have experience with technical decision-making| communicating technical architecture to non-technical stakeholders| and coding with best-practices. You should be excited about being a part of an innovative organization that makes a measurable impact across important industries including crisis response| public safety| healthcare| and more. Compensation ranges are for Latin America-based team members. Stock options are offered in addition to cash compensation. Powered by JazzHR 2AcK4f4cUp
Frontend Engineer II (Mid-Level with Webflow expertise),Outliant,Argentina,Hace 3 semanas,41 solicitudes,https://ar.linkedin.com/jobs/view/frontend-engineer-ii-mid-level-with-webflow-expertise-at-outliant-4130660360?position=17&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=h4%2BSf46T50rCtkLdUmXEvg%3D%3D,About us: Outliant is a fully-remote| US-based| digital product development and startup consulting company| with a team of culturally diverse creators whose exceptional skills and talents help conceive seamless digital products. Our teams exhibit work-play energy that supports individual growth| as well as encourages the freedom of creativity and “thinking outside the box.” We’re looking to hire a Your primary focus will be collaborating with a team of developers in creating and implementing software applications and components. You’ll have the opportunity to choose your hours and work and learn with a team of world-class engineers and designers| through a commitment to team collaboration| communication| and product quality. Mid-Level : : As a full-time member of our team| you’ll enjoy: To ensure the legitimacy of job opportunities| we strongly recommend that you solely rely on positions posted here on our official website: . All our current job openings require video interviews conducted in either or both synchronous (via Google Meet) and asynchronous (via Willo) formats. Kindly refrain from accepting offers that appear suspicious. For any inquiries or concerns| feel free to reach out to us via email at . Please be assured that we are fully committed to maintaining integrity in our hiring process.
